ActualEVTYPE,ValidValue
   HIGH SURF ADVISORY,High Surf
 FLASH FLOOD,Flash Flood
 TSTM WIND,Thunderstorm Wind
 TSTM WIND (G45),Thunderstorm Wind
?,Other
AGRICULTURAL FREEZE,Frost/Freeze
APACHE COUNTY,Other
ASTRONOMICAL HIGH TIDE,Other
ASTRONOMICAL LOW TIDE,Other
AVALANCE,Avalanche
AVALANCHE,Avalanche
Beach Erosion,Coastal Flood
BLACK ICE,Frost/Freeze
BLIZZARD,Blizzard
BLIZZARD/WINTER STORM,Blizzard
BLOWING DUST,High Wind
BLOWING SNOW,Blizzard
blowing snow,Winter Weather
BLOWING SNOW,Winter Weather
blowing snow,Winter Weather
BREAKUP FLOODING,Flood
BRUSH FIRE,Wildfire
COASTAL  FLOODING/EROSION,Coastal Flood
COASTAL EROSION,Coastal Flood
COASTAL FLOOD,Coastal Flood
Coastal Flood,Coastal Flood
COASTAL FLOODING,Coastal Flood
Coastal Flooding,Coastal Flood
COASTAL FLOODING,Coastal Flood
Coastal Flooding,Coastal Flood
COASTAL FLOODING/EROSION,Coastal Flood
COASTAL STORM,Tropical Storm
Coastal Storm,Tropical Storm
COASTAL STORM,Tropical Storm
Coastal Storm,Tropical Storm
COASTAL SURGE,Tropical Storm
COASTALSTORM,Tropical Storm
COLD,Cold/Wind Chill
Cold,Cold/Wind Chill
COLD,Cold/Wind Chill
Cold,Cold/Wind Chill
COLD AIR TORNADO,Tornado
COLD AND SNOW,Cold/Wind Chill
COLD AND WET CONDITIONS,Cold/Wind Chill
Cold Temperature,Cold/Wind Chill
COLD WAVE,Cold/Wind Chill
COLD WEATHER,Cold/Wind Chill
COLD/WIND CHILL,Cold/Wind Chill
COLD/WINDS,Cold/Wind Chill
COOL AND WET,Cold/Wind Chill
DAM BREAK,Flood
DAMAGING FREEZE,Frost/Freeze
Damaging Freeze,Frost/Freeze
DENSE FOG,Dense Fog
DENSE SMOKE,Wildfire
DOWNBURST,Flood
DROUGHT,Drought
DROUGHT/EXCESSIVE HEAT,Drought
DROWNING,Other
DRY MICROBURST,Thunderstorm Wind
DRY MIRCOBURST WINDS,Thunderstorm Wind
DUST DEVIL,Dust Devil
Dust Devil,Dust Devil
DUST DEVIL,Dust Devil
Dust Devil,Dust Devil
DUST DEVIL WATERSPOUT,Dust Devil
DUST STORM,Dust Storm
DUST STORM/HIGH WINDS,Dust Storm
Early Frost,Frost/Freeze
Erosion/Cstl Flood,Flood
EXCESSIVE HEAT,Heat
EXCESSIVE RAINFALL,Heavy Rain
EXCESSIVE SNOW,Heavy Snow
EXCESSIVE WETNESS,Heavy Rain
Extended Cold,Extreme Cold/Wind Chill
EXTREME COLD,Extreme Cold/Wind Chill
Extreme Cold,Extreme Cold/Wind Chill
EXTREME COLD,Extreme Cold/Wind Chill
Extreme Cold,Extreme Cold/Wind Chill
EXTREME COLD/WIND CHILL,Extreme Cold/Wind Chill
EXTREME HEAT,Excessive Heat
EXTREME WIND CHILL,Extreme Cold/Wind Chill
EXTREME WINDCHILL,Extreme Cold/Wind Chill
FALLING SNOW/ICE,Heavy Snow
FLASH FLOOD,Flash Flood
FLASH FLOOD - HEAVY RAIN,Flash Flood
FLASH FLOOD FROM ICE JAMS,Flash Flood
FLASH FLOOD LANDSLIDES,Flash Flood
FLASH FLOOD WINDS,Flash Flood
FLASH FLOOD/,Flash Flood
FLASH FLOOD/ STREET,Flash Flood
FLASH FLOOD/FLOOD,Flash Flood
FLASH FLOOD/LANDSLIDE,Flash Flood
FLASH FLOODING,Flash Flood
FLASH FLOODING/FLOOD,Flash Flood
FLASH FLOODING/THUNDERSTORM WI,Flash Flood
FLASH FLOODS,Flash Flood
FLOOD,Flood
FLOOD & HEAVY RAIN,Flood
FLOOD FLASH,Flood
FLOOD/FLASH,Flood
FLOOD/FLASH FLOOD,Flash Flood
FLOOD/FLASH/FLOOD,Flash Flood
FLOOD/FLASHFLOOD,Flash Flood
FLOOD/RAIN/WINDS,Flash Flood
FLOOD/RIVER FLOOD,Flood
FLOODING,Flood
FLOODING/HEAVY RAIN,Flood
FLOODS,Flood
FOG,Dense Fog
FOG AND COLD TEMPERATURES,Dense Fog
FOREST FIRES,Wildfire
FREEZE,Frost/Freeze
Freeze,Frost/Freeze
FREEZING DRIZZLE,Ice Storm
Freezing Drizzle,Ice Storm
Freezing drizzle,Ice Storm
FREEZING FOG,Heavy Fog
FREEZING RAIN,Ice Storm
Freezing Rain,Ice Storm
FREEZING RAIN/SLEET,Ice Storm
FREEZING RAIN/SNOW,Ice Storm
Freezing Spray,Freezing Fog
FROST,Frost/Freeze
FROST/FREEZE,Frost/Freeze
Frost/Freeze,Frost/Freeze
FROST\\FREEZE,Frost/Freeze
FUNNEL CLOUD,Tornado
GLAZE,Ice Storm
Glaze,Ice Storm
GLAZE ICE,Ice Storm
GLAZE/ICE STORM,Ice Storm
GRADIENT WIND,Strong Wind
Gradient wind,Strong Wind
gradient wind,Strong Wind
GRASS FIRES,Wildfire
GROUND BLIZZARD,Blizzard
GUSTNADO,Tornado
GUSTY WIND,Strong Wind
GUSTY WIND/HAIL,Strong Wind
